CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,TOTAL_TRANS_AMT,TRANSACTION_COUNT,AVG_TRANSACTION_SIZE,EFFICIENCY_CLASS,PTY_GROUP
C00872614,AMERICAN MUSLIM PUBLIC AFFAIRS COMMITTE (AMPAC),0.0,0.0,0.0,0.0,INEFFICIENT,
C00872655,ACLU VOTER EDUCATION FUND,1003478.37,2003478.0,2.0,1001739.0,EFFICIENT,REP
C00872689,THE RAINEY-SMALLS PROJECT,0.0,0.0,0.0,0.0,INEFFICIENT,
C00848671,MOBILIZE NOW,,0.0,0.0,0.0,INEFFICIENT,
C00848705,COLLEGE STUDENTS FOR DEMOCRACY,,0.0,0.0,0.0,INEFFICIENT,
C00848739,"DEFENDING AMERICA PAC, INC.",267879.0,322879.0,6.0,53813.166666666664,EFFICIENT,REP
C00848762,THE PARKER PRESIDETIAL CAMPAIGN,,0.0,0.0,0.0,INEFFICIENT,
C00848812,COMMITTEE TO ELECT TIM SCOTT DELEGATES,0.0,726667.0,101.0,7194.722772277228,MODERATE,NON_PARTISAN
C00848952,STOP ABORTION EXTREMISM PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849000,ACCOUNTABILITY ACTION,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849034,BUILDING A STRONG RHODE ISLAND,,0.0,0.0,0.0,INEFFICIENT,
C00849042,CITIZENS ALLIANCE OF NORTH DAKOTA,0.0,200000.0,1.0,200000.0,EFFICIENT,NON_PARTISAN
C00849109,DEFEAT THE MACHINE SUPER PAC,,0.0,0.0,0.0,INEFFICIENT,
C00849190,"FAMILY, FAITH, AND JUSTICE",0.0,0.0,0.0,0.0,INEFFICIENT,
C00849208,PATRIOT PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849224,SAINT AUGUSTINE PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849372,PROGRESSIVE ALLIANCE FOR PR,0.0,275000.0,2.0,137500.0,EFFICIENT,NON_PARTISAN
C00849489,KEYSTONE RENEWAL PAC,54394982.49,54394973.0,98.0,555050.7448979592,EFFICIENT,BIPARTISAN
C00849539,PETE FOR PINAL,,0.0,0.0,0.0,INEFFICIENT,
C00849547,CONSERVATIVES FOR VIRTUE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849562,"UNCLE DONNIE--SHUT THE FUCK UP AND PLEAD GUILTY AND GET BACK TO WHAT YOU KNOW: COMPULSIVE LYING, GRIFTING, DRINKING AND RAW DOGGIN PORNSTARS",,0.0,0.0,0.0,INEFFICIENT,
C00849729,LAST BEST PLACE PAC,33816255.22,34502216.0,125.0,276017.728,EFFICIENT,REP
C00849877,UNIFY COLORADO,58000.0,68000.0,2.0,34000.0,EFFICIENT,REP
C00849927,UNITED FOR CHANGE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00849950,PATRIOT LEGAL DEFENSE FUND,,0.0,0.0,0.0,INEFFICIENT,
C00767459,NICPAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00767749,ZINC COLLECTIVE PAC,0.0,67500.0,5.0,13500.0,EFFICIENT,DEM
C00768572,TRUST THE PEOPLE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00855601,OREGON FIGHT CLUB SUPERPAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00855700,STAR,,0.0,0.0,0.0,INEFFICIENT,
C00855775,RED STATE BLUE RESOURCES,3500.0,3500.0,1.0,3500.0,MODERATE,REP
C00855783,MOVING IOWA FORWARD PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00855809,PATRIOTS PREVAIL PAC,379164.6,388541.0,7.0,55505.857142857145,EFFICIENT,REP
C00855924,CONSERVATIVE AMERICANS PAC,882921.09,902920.0,8.0,112865.0,EFFICIENT,REP
C00856070,DRAFT ROMNEY MANCHIN COMMITTEE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00856211,"FRIENDS OF AMERICA, INC",0.0,0.0,0.0,0.0,INEFFICIENT,
C00856278,JOBS FOR THE VALLEY PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00856377,ISRAEL TODAY,,0.0,0.0,0.0,INEFFICIENT,
C00856385,BEEHIVE VALUES PAC,97170.86,97170.0,9.0,10796.666666666666,EFFICIENT,REP
C00856419,ALINA HABBA: YOU MUST BE ONE GREAT FUCK/MISTRESS CUZ YOU'RE A JOKE OF A LAWYER,,0.0,0.0,0.0,INEFFICIENT,
C00856427,SCREAMING EAGLE PAC INC.,622350.0,1197350.0,4.0,299337.5,EFFICIENT,DEM
C00856435,THE FUTURE - TODAY & TOMORROW,17400.0,17400.0,5.0,3480.0,MODERATE,BIPARTISAN
C00856559,CONSERVATIVES FOR ACTION PAC,26156.71,28492.0,29.0,982.4827586206897,INEFFICIENT,REP
C00856914,GARDEN STATE INTEGRITY,0.0,1485000.0,11.0,135000.0,EFFICIENT,NON_PARTISAN
C00856930,MR.JOEL ETIETSOLA ASAGBA,,0.0,0.0,0.0,INEFFICIENT,
C00867101,COMMITTEE FOR A BETTER SAN FRANCISCO,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867267,270 SUPER PAC,,0.0,0.0,0.0,INEFFICIENT,
C00867291,ARIZONANS FOR A SECURE AMERICA,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867325,PROTECT MIGHIGAN PAC INC.,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867333,FREEDOM FOREVER,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867341,HOUSE DEMOCRATS,,0.0,0.0,0.0,INEFFICIENT,
C00867358,HEARTLAND VOICES PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867408,SENATE DEMOCRATS,,0.0,0.0,0.0,INEFFICIENT,
C00867440,LATINOS FOR A FREE AMERICA,,0.0,0.0,0.0,INEFFICIENT,
C00867564,DC FOR A BETTER TOMORROW,,0.0,0.0,0.0,INEFFICIENT,
C00867655,AMERICAN SHIELD SUPER PAC,,0.0,0.0,0.0,INEFFICIENT,
C00867671,THE BLACK DC,,0.0,0.0,0.0,INEFFICIENT,
C00867739,STEPHENS FOR SHERIFF 2024,,0.0,0.0,0.0,INEFFICIENT,
C00867762,"PAPERBACK PAC, INC.",0.0,0.0,0.0,0.0,INEFFICIENT,
C00867770,WE THE PEOPLE 2024,5666.5,5666.0,5.0,1133.2,MODERATE,DEM
C00867861,TAKE BACK YOUR LIBERTY,292558.0,292552.0,14.0,20896.571428571428,EFFICIENT,REP
C00867895,FOUNDATIONS FOR A BETTER FUTURE,0.0,500000.0,2.0,250000.0,EFFICIENT,NON_PARTISAN
C00867903,REAL TEXANS FOR JUSTICE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00867945,PROGRESSIVE SOURCE PAC,49228.89,49223.0,67.0,734.6716417910447,INEFFICIENT,REP
C00867994,READY FOR CHANGE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00868026,"AMERICA'S FIRST FREEDOMS, INC.",404297.4,454296.0,31.0,14654.709677419354,EFFICIENT,REP
C00868075,AMERICAN COVENANT,0.0,0.0,0.0,0.0,INEFFICIENT,
C00868083,ARIZONANS FOR CONSERVATIVE LEADERSHIP,77057.59,77055.0,8.0,9631.875,MODERATE,REP
C00868158,INCLUSIVE DEMOCRACY,0.0,0.0,0.0,0.0,INEFFICIENT,
C00868240,TRI-PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00868281,DONALD TRUMP IS A SICK FUCK,,0.0,0.0,0.0,INEFFICIENT,
C00868372,INDIAN-AMERICANS FOR TRUMP 2024,0.0,0.0,0.0,0.0,INEFFICIENT,
C00868448,"CLEAR CHOICE PAC, INC",30753.04,30751.0,4.0,7687.75,MODERATE,NON_PARTISAN
C00887018,FRESH FACES PAC,,0.0,0.0,0.0,INEFFICIENT,
C00887042,WORKERS EN ACCION PAC,13188.05,17777.0,16.0,1111.0625,MODERATE,DEM
C00887091,PROTECTING OHIO'S FUTURE PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887117,GOPAC FOUNDATION,,0.0,0.0,0.0,INEFFICIENT,
C00887125,MONTANA VOTERS PAC,0.0,650000.0,7.0,92857.14285714286,EFFICIENT,NON_PARTISAN
C00887141,NY COMMON GROUND,1964670.6,1964670.0,26.0,75564.23076923077,EFFICIENT,DEM
C00887182,PLANNED PARENTHOOD VOTES NORTH CAROLINA,942418.03,943297.0,14.0,67378.35714285714,EFFICIENT,REP
C00887208,FTW PAC,73975.58,73964.0,21.0,3522.095238095238,MODERATE,REP
C00887323,NATIONAL DEMOCRATS,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887398,DIGITAL IDENTITY RIGHTS PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887414,BLACK LEADERSHIP FEDERAL PAC,757685.29,757684.0,16.0,47355.25,EFFICIENT,DEM
C00887513,DRAFT JAMES COMER FOR GOVERNOR,,0.0,0.0,0.0,INEFFICIENT,
C00887612,GOD SUPER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887638,AMERICANS FOR PEACE SUPER PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887679,"BROTHAS, INC.",0.0,0.0,0.0,0.0,INEFFICIENT,
C00887703,STICKER PAC,504176.07,705175.0,12.0,58764.583333333336,EFFICIENT,REP
C00887711,MAGA MEME PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887729,AMERICAN RESOLVE PAC INC.,118220.55,140505.0,8.0,17563.125,EFFICIENT,REP
C00887745,WIN USA PAC LLC,44088.47,44088.0,7.0,6298.285714285715,MODERATE,REP
C00887778,MOVING MONTANA FORWARD,249929.55,276126.0,13.0,21240.46153846154,EFFICIENT,BIPARTISAN
C00887794,SAVE SOCIAL SECURITY AND MEDICARE NOW,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887851,WE DECIDE,444394.0,444393.0,27.0,16459.0,EFFICIENT,DEM
C00887877,UNITY FOR A BETTER FUTURE,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887893,MAHA PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00887901,MAKE AMERICA HEALTHY AGAIN (MAHA) PAC,32847.6,32847.0,1.0,32847.0,EFFICIENT,REP
C00888032,LATINO ACTION PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00888040,LIBERTY'S LAST STAND PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00888065,907 INITIATIVE ACTION,0.0,0.0,0.0,0.0,INEFFICIENT,
C00888081,FOR OUR FREEDOM,1578162.9,2048600.0,63.0,32517.460317460318,EFFICIENT,BIPARTISAN
C00888115,FAY-WEST CONCERNED CITIZENS,3542.21,3541.0,7.0,505.85714285714283,INEFFICIENT,NON_PARTISAN
C00888149,MISSOURIANS PROTECTING CHILDREN AND FAMILIES,0.0,0.0,0.0,0.0,INEFFICIENT,
C00888172,MAHA ALLIANCE,4390195.1,5240192.0,56.0,93574.85714285714,EFFICIENT,BIPARTISAN
C00888214,MAKE AMERICA NICE AGAIN ,975.0,975.0,1.0,975.0,INEFFICIENT,NON_PARTISAN
C00888289,SAFETY AND JUSTICE FOR ALL PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00888313,PATRICK HENRY PROJECT PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00769828,PEOPLE NOT PROFITS,0.0,0.0,0.0,0.0,INEFFICIENT,
C00769927,INTEGRITY MATTERS PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00770032,"PRAGMATIC VOTER PAC, INC.",0.0,0.0,0.0,0.0,INEFFICIENT,
C00770123,NEW LEADERSHIP FLORIDA,0.0,0.0,0.0,0.0,INEFFICIENT,
C00770149,SHIELD PAC,0.0,0.0,0.0,0.0,INEFFICIENT,
C00770370,CENTRAL PENNSYLVANIANS FOR THE COMMONWEALTH,0.0,0.0,0.0,0.0,INEFFICIENT,
