CMTE_ID,CMTE_NM,TTL_RECEIPTS,TTL_DISBURSEMENTS,MEGADONOR_RECEIPTS,MEGADONOR_DEPENDENCY,DEPENDENCY_CLASS,PTY_GROUP
C00526269,TEAM [TEAMSTERS EDUCATION AND MOBILIZATION],38876.33,0.0,,0.0,BROAD_BASED,
C00526673,FAIR SHARE ACTION,1526594.16,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00527226,WE VOTE - NOSOTROS VOTAMOS - PPAMM COMMITTEE,536700.65,27.31,0.0,0.0,BROAD_BASED,DEM
C00527804,AMERICAN PRINCIPLES FUND,100.0,0.0,,0.0,BROAD_BASED,
C00528554,RJC VICTORY FUND,17018627.15,13344390.75,12037081.0,0.9020348891887908,MEGADONOR_DEPENDENT,BIPARTISAN
C00528760,POLISH AMERICAN LEADERSHIP POLITICAL ACTION COMMITTEE,0.0,0.0,,0.0,BROAD_BASED,
C00528869,OHIOANS UNITED ACTION FUND,0.0,0.0,,0.0,BROAD_BASED,
C00528893,STANDING FOR WISCONSIN FAMILIES,0.0,0.0,,0.0,BROAD_BASED,
C00528901,HOMETOWN FREEDOM ACTION NETWORK,250269.73,45961.64,0.0,0.0,BROAD_BASED,REP
C00528950,BLACK MEN VOTE PAC,1230997.01,0.0,,0.0,BROAD_BASED,
C00529818,GRAND OLD PRINCIPLES,,,,0.0,BROAD_BASED,
C00530766,WOMEN SPEAK OUT PAC,11938802.4,7003104.0,6712462.0,0.9585049608356583,MEGADONOR_DEPENDENT,BIPARTISAN
C00531624,LOCAL VOICES,957560.23,761674.76,0.0,0.0,BROAD_BASED,DEM
C00531814,ENVIRONMENT AMERICA ACTION FUND,4372397.1,10609.13,0.0,0.0,BROAD_BASED,BIPARTISAN
C00532416,FARM PAC,17837.07,0.0,,0.0,BROAD_BASED,
C00532572,AMERICA'S LIBERTY PAC,5000.0,0.0,,0.0,BROAD_BASED,
C00532630,OUR AMERICAN CENTURY,1527775.0,905250.0,0.0,0.0,BROAD_BASED,BIPARTISAN
C00532705,INDEPENDENCE USA PAC,1087712.22,0.0,,0.0,BROAD_BASED,
C00532812,PROGRESSIVE USA VOTERS,0.0,0.0,,0.0,BROAD_BASED,
C00540203,DEFENDING MAIN STREET SUPERPAC INC.,4610383.61,4505033.15,4224493.0,0.9377290914034884,MEGADONOR_DEPENDENT,BIPARTISAN
C00540898,TEA PARTY PATRIOTS CITIZENS FUND,2018450.5,615578.62,0.0,0.0,BROAD_BASED,REP
C00541045,GOAL WESTPAC,2000.0,0.0,,0.0,BROAD_BASED,
C00542902,AMERICARISINGPAC.ORG,-1240.3,0.0,,0.0,BROAD_BASED,
C00543256,"KSL, INC.",25000.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00543454,AMERICAN LEAGUE OF CHARITABLE ORGANIZATIONS,0.0,0.0,,0.0,BROAD_BASED,
C00544528,CITIZENS UNITED FOR EDUCATION,0.0,0.0,,0.0,BROAD_BASED,
C00544544,NEW REPUBLICAN PAC,0.0,0.0,,0.0,BROAD_BASED,
C00544551,HEARTLAND RESURGENCE,2711050.0,2140500.03,1910935.0,0.8927521106059849,MEGADONOR_DEPENDENT,NON_PARTISAN
C00545798,AMERICAN LIBERTY PAC,0.0,0.0,,0.0,BROAD_BASED,
C00546481,EQUIDAD POLITICAL ACTION COMMITTEE,0.0,0.0,,0.0,BROAD_BASED,
C00546911,THE MOBILIZATION PROJECT,0.0,0.0,,0.0,BROAD_BASED,
C00548461,CLIMATE HAWKS VOTE POLITICAL ACTION,109687.4,0.0,,0.0,BROAD_BASED,DEM
C00548867,AMERICAN HEARTLAND PAC,0.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00549063,EMERGES.COM INC POLITICAL ACTION COMMITTEE AKA EMERGES PAC,0.0,0.0,,0.0,BROAD_BASED,
C00549279,FIGHT FOR TOMORROW,108000.58,0.0,,0.0,BROAD_BASED,
C00549568,WINNING FLORIDA,0.0,0.0,,0.0,BROAD_BASED,
C00550269,YESTERDAY'S OPTIMISM UNTO THE NEXT GENERATION PAC (YOUNG PAC),,,,0.0,BROAD_BASED,
C00550509,DETROITERS VOTE,0.0,0.0,,0.0,BROAD_BASED,
C00551382,VOTECLIMATE.US PAC,4271.89,0.0,,0.0,BROAD_BASED,
C00555094,MICHIGAN PIPE TRADES ASSOCIATION INDEPENDENT EXPENDITURE COMMITTEE (MPAC) INDEPENDENT EXPENDITURE CO,280216.91,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00555540,COALITION FOR KENTUCKY JOB CREATION ,0.0,0.0,,0.0,BROAD_BASED,
C00555862,"FOUNDATION FOR A GREATER AMERICA, INC.",,,,0.0,BROAD_BASED,
C00556274,USW WORKS,1790647.39,53583.18,0.0,0.0,BROAD_BASED,DEM
C00556860,PLANNED PARENTHOOD AFFILIATES OF CALIFORNIA VOTES PAC,2769047.53,2095839.67,1701075.0,0.7724950307735554,MEGADONOR_DEPENDENT,BIPARTISAN
C00557561,NEW HAMPSHIRE PRIORITIES,240025.0,0.0,,0.0,BROAD_BASED,
C00557934,UNITAS INC,0.0,0.0,,0.0,BROAD_BASED,
C00558049,MUNOZ GROUP PAC,0.0,0.0,,0.0,BROAD_BASED,
C00558445,ARIZONA GRASSROOTS ACTION PAC,0.0,0.0,,0.0,BROAD_BASED,
C00558544,ENOUGH IS ENOUGH PAC,0.0,0.0,,0.0,BROAD_BASED,
C00559906,AMERICAS PAC,4016849.01,2528984.5,1188122.0,0.46980210234623865,MEGADONOR_INFLUENCED,BIPARTISAN
C00560854,GLOBAL DEMOCRATIC PAC,0.0,0.0,,0.0,BROAD_BASED,
C00560904,RAGA ACTION FUND,605000.0,0.0,,0.0,BROAD_BASED,
C00561480,CITIZENS FOR RESPONSIBLE LEADERSHIP,0.0,0.0,,0.0,BROAD_BASED,
C00562272,X-FUND,0.0,0.0,,0.0,BROAD_BASED,
C00562405,INDEPENDENT LEADERSHIP FOR NEW HAMPSHIRE PAC,0.0,0.0,,0.0,BROAD_BASED,
C00562595,MORNING IN AMERICA PAC,161039.76,0.0,,0.0,BROAD_BASED,
C00564013,ALLIANCE FOR A BETTER MINNESOTA FEDERAL PAC,595.48,0.0,,0.0,BROAD_BASED,
C00564997,DIRECT SELLING EMPOWERS AMERICANS,0.0,0.0,,0.0,BROAD_BASED,
C00565689,PROSPERITY FOR PENNSYLVANIA INC.,0.0,0.0,,0.0,BROAD_BASED,
C00565846,IOWA VALUES,25.0,0.0,,0.0,BROAD_BASED,
C00566182,LEADERSHIP PROJECT FOR AMERICA PAC,0.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00566463,THE PRINCIPLES PROJECT,238500.01,0.0,,0.0,BROAD_BASED,
C00567313,VISIONARY LEADERS FUND,28300.0,0.0,,0.0,BROAD_BASED,
C00567396,CHANGE CAMPAIGN SUPER PAC,21933.72,20000.0,0.0,0.0,BROAD_BASED,DEM
C00568170,PRIORITIES FOR IOWA POLITICAL FUND,0.0,0.0,,0.0,BROAD_BASED,
C00568444,CENTER FORWARD COMMITTEE,999528.56,850000.0,0.0,0.0,BROAD_BASED,DEM
C00568519,CONCRETE AND PORTLAND CEMENT ACTION NETWORK,137534.56,0.0,,0.0,BROAD_BASED,
C00568931,MI PLANNED PARENTHOOD VOTES,813761.31,798283.66,437562.0,0.5429684688597416,MEGADONOR_DEPENDENT,BIPARTISAN
C00568964,LIUNA BUILDING AMERICA,5445839.66,200000.0,200000.0,1.0,MEGADONOR_DEPENDENT,BIPARTISAN
C00569319,OHIOANS FOR A BETTER FUTURE,4000.0,0.0,,0.0,BROAD_BASED,
C00569343,ALLIANCE FOR A BETTER RHODE ISLAND,3658.44,0.0,,0.0,BROAD_BASED,
C00569392,FOR JUDICAL FAIRNESS PROJECT; THE,10.0,0.0,,0.0,BROAD_BASED,
C00569582,KANSAS AG COMMUNITIES COALITION,0.0,0.0,,0.0,BROAD_BASED,
C00569616,WASHINGTON'S FUTURE,0.33,0.0,,0.0,BROAD_BASED,
C00569996,ACTION PAC,2250.0,0.0,,0.0,BROAD_BASED,
C00570721,LONG ISLAND LAW ENFORCEMENT FOUNDATION,150002.58,0.0,,0.0,BROAD_BASED,
C00571398,BLAKPAC,103191.6,0.0,,0.0,BROAD_BASED,
C00571554,LEADERSHIP ALLIANCE,0.0,0.0,,0.0,BROAD_BASED,
C00571588,RESTORATION PAC,91002654.71,42999847.59,40730779.0,0.9472311634720416,MEGADONOR_DEPENDENT,DEM
C00572743,INDEPENDENT VOICE FOR ILLINOIS PAC,0.0,0.0,,0.0,BROAD_BASED,
C00572792,VICTORY FUND,0.0,0.0,,0.0,BROAD_BASED,
C00573733,SECURITY IS STRENGTH PAC,736048.8,113690.75,0.0,0.0,BROAD_BASED,REP
C00574749,CONSERVATIVES FOR EFFECTIVE GOVERNMENT,1375992.72,1318294.55,1261444.0,0.9568760837870763,MEGADONOR_DEPENDENT,REP
C00580837,IRON DOME ALLIANCE,0.0,0.0,,0.0,BROAD_BASED,
C00581868,NEW DAY FOR AMERICA,,,,0.0,BROAD_BASED,
C00582072,SAVING OUR LAKES AND OPEN SPACES IN RANCHO MURIETA POLITICAL ACTION COMMITTEE,0.0,0.0,,0.0,BROAD_BASED,
C00582700,LET AMERICA WORK,0.0,0.0,,0.0,BROAD_BASED,NON_PARTISAN
C00582841,COALITION FOR PROGRESS,3661929.28,0.0,,0.0,BROAD_BASED,
C00586487,A TIME FOR CHOOSING,0.0,0.0,,0.0,BROAD_BASED,
C00586610,GOOD JOBS AND STRONG COMMUNITIES PAC,0.0,0.0,,0.0,BROAD_BASED,
