CMTE_ID,CMTE_NM,TTL_DISBURSEMENTS,CANDIDATE_DIRECT_RATE,NON_CANDIDATE_RATE,ATTACK_RATE,Q4_CONCENTRATION,PTY_GROUP,OFFICE_SEGMENT
C00637348,REACH TO ACHIEVE,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00637512,"AMERICA FIRST ACTION, INC.",0.0,1.0,0.0,0,1.0,NON_PARTISAN,OTHER
C00637520,OHIO MAJORITY TRUST,0.0,0.0,0.0,0,0.0,,OTHER
C00638528,LOUISIANA LEGACY PAC,22390.0,1.0,0.0,0,0.0,REP,OTHER
C00639708,ASSOCIATION FOR FIREFIGHTERS PAC DBA ASSOCIATION FOR FIREFIGHTERS,4088.0,1.0,0.0,0,0.0,REP,OTHER
C00639948,EQUALITY 51,0.0,0.0,0.0,0,0.0,,OTHER
C00640300,ACTIVATE AMERICA,110841.62,1.0,0.0,0,0.15537224799984725,BIPARTISAN,OTHER
C00647271,LINCOLN-ROOSEVELT PAC,0.0,0.0,0.0,0,0.0,,OTHER
C00647289,GUARD FREEDOM,0.0,0.0,0.0,0,0.0,,OTHER
C00648717,SWAMP DRAINERS FOUNDATION,0.0,0.0,0.0,0,0.0,,OTHER
C00649996,1ST DISTRICT DEMOCRATS,0.0,0.0,0.0,0,0.0,,OTHER
C00650432,"DEMOCRATS WORK FOR AMERICA, INC",10578.09,0.8448595162264643,0.15514048377353573,0,0.8801611278952669,DEM,OTHER
C00651091,LEADERSHIP FOR A STRONG AMERICA,0.0,0.0,0.0,0,0.0,,OTHER
C00651505,JUSTICE & PUBLIC SAFETY PAC,0.0,1.0,0.0,0,0.0,NON_PARTISAN,OTHER
C00652867,STAND FIRM AMERICA,0.0,0.0,0.0,0,0.0,,OTHER
C00652982,SOLUTION FUND PAC,0.0,0.0,0.0,0,0.0,,OTHER
