CMTE_ID,CMTE_NM,OFFICE_SEGMENT,PTY_GROUP,IMBALANCE_SCORE,GRIDLOCK_PROPENSITY,TOTAL_DEM_DISB,TOTAL_REP_DISB,TOTAL_OTHER_DISB,TOTAL_PARTISAN_DISB,TTL_RECEIPTS,TTL_DISBURSEMENTS,IND_EXPEND,TTL_CONTRIB_TO_OTHER_CMTE,PTY_COORD_EXPEND,CMTE_TP,CMTE_DSGN,CVG_END_DT
C00877027,THE SENECA PROJECT INC,OTHER,BIPARTISAN,0.30465513039239583,0.0,42824.0,22824.0,25000.0,65648.0,554833.02,32825.0,,,,O,U,
C00877670,CAAG PAC,OTHER,REP,1.0,0.0,0.0,18152.0,7156.0,18152.0,84200.0,16235.36,,,,O,U,
C00877753,AMERICAN FREEDOM PAC (AFPAC),OTHER,DEM,1.0,0.0,163522.0,0.0,0.0,163522.0,162800.0,81767.1,,,,O,U,
C00877787,SAVE OUR COUNTRY,OTHER,REP,1.0,0.0,0.0,5300000.0,0.0,5300000.0,2660407.5,2650000.0,,,,O,U,
C00877886,1000 WOMEN STRONG PAC,OTHER,DEM,1.0,0.0,262292.0,0.0,0.0,262292.0,295000.0,131149.36,,,,O,U,
C00877936,BLUE HORIZON ACTION,OTHER,DEM,1.0,0.0,143756.0,0.0,10000.0,143756.0,104000.0,71878.0,,,,O,U,
C00878041,HEALTH EQUITY NOW,OTHER,DEM,1.0,0.0,1099920.0,0.0,0.0,1099920.0,555106.0,549960.0,,,,O,U,
C00878215,KANSAS CONSERVATIVE FUND,OTHER,REP,1.0,0.0,0.0,112362.0,0.0,112362.0,60900.0,56183.71,,,,O,U,
C00878264,CONSERVATIVE FUTURE FUND,OTHER,REP,0.9620281523278641,0.0,10000.0,516706.0,0.0,526706.0,1614342.14,263354.26,,,,O,U,
C00851410,PROTECT LIBERTY PAC,OTHER,REP,1.0,0.0,0.0,613326.0,0.0,613326.0,563400.25,306666.0,,,,O,U,
C00852244,POLE POSITION PAC,OTHER,BIPARTISAN,0.0170705678523748,0.0,910000.0,941608.0,0.0,1851608.0,1301000.0,920812.22,,,,O,U,
C00863084,GOOD FIGHT,OTHER,REP,0.9300032323779026,0.0,232790.0,6418660.0,10419.0,6651450.0,3350000.0,3325728.0,,,,O,U,
